cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
Merck_CD45pos_pl4_S70,Mel194,T.CD8,post.treatment,New,4987,1423655,4869,9721.754686935308
Cy74_CD45_C03_S411_comb,Mel74,B.cell,post.treatment,Tirosh,2662,97564,2451,7106.953965182764
Cy74_CD45_D02_S422_comb,Mel74,T.cell,post.treatment,Tirosh,2461,78119,2270,6983.623037487153
Cy74_CD45_F01_S445_comb,Mel74,T.CD8,post.treatment,Tirosh,2823,99752,2620,8460.777448560992
cy106_CD45pos_S282,Mel106,T.cell,post.treatment,New,4043,1041586,3897,5891.753513281939
Cy74_CD45_C10_S418_comb,Mel74,?,post.treatment,Tirosh,3196,135606,3005,9230.879128744195
CY88CD45_150813_F06_S354_comb,Mel88,Macrophage,post.treatment,Tirosh,6277,1109398,6045,12218.797008328364
Merck_CD45pos_pl4_S14,Mel194,T.CD8,post.treatment,New,4309,543603,4139,8895.659014452802
Cy81_FNA_CD45_H02_S278_comb,Mel81,T.cell,treatment.naive,Tirosh,2969,208313,2751,7177.357482945304
Merck_CD45pos_pl4_S10,Mel194,T.CD8,post.treatment,New,4802,1300244,4680,9231.719327348728
cy98_CD45pos_1_S223,Mel98,Macrophage,post.treatment,New,5744,1433613,5579,11248.772599529319
cy103_CD45pos_S99,Mel103,T.CD8,treatment.naive,New,4049,228938,3841,9105.655619123201
cy129PA_CD45pos_S1,Mel129pa,Macrophage,treatment.naive,New,8555,254760,8406,14965.176477957699
cy105_CD45pos_S275,Mel105,B.cell,treatment.naive,New,5672,621074,5496,11756.832213878393
cy103_CD45pos_S220,Mel103,T.CD8,treatment.naive,New,6052,372681,5881,12691.82242115855
cy121.1_CD45pos_S373,Mel121.1,T.cell,post.treatment,New,3886,726544,3723,6528.122838254826
CY89A_CD45_POS_6_B04_S112_comb,Mel89,Macrophage,treatment.naive,Tirosh,5844,403794,5658,11970.2847385333
cy58_1_CD45_pos_C05_S605_comb,Mel58,B.cell,post.treatment,Tirosh,3555,69412,3310,9727.811612054033
Cy81_FNA_CD45_A05_S197_comb,Mel81,T.CD4,treatment.naive,Tirosh,3011,299150,2817,6284.6673704240475
cy106_CD45pos_S249,Mel106,T.CD4,post.treatment,New,4972,572626,4836,7886.495731181969
cy80_Cd45_pos_Pd1_neg_S295_E07_S295_comb,Mel80,T.CD4,treatment.naive,Tirosh,3843,58623,3608,11187.987334730715
CY75_1_CD45_CD8_3__S178_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3752,172851,3536,9809.871892791816
cy04.3_CD45pos_S21,Mel04.3,?,post.treatment,New,4114,196844,3972,8250.429699849228
cy129PA_CD45pos_S34,Mel129pa,T.CD8,treatment.naive,New,4371,718345,4210,8153.064150152422
CY75_1_CD45_CD8_8__S371_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,1930,100333,1744,4657.099026540351
CY88CD45POS_2_G07_S463_comb,Mel88,B.cell,post.treatment,Tirosh,4264,755449,4054,7778.98009998365
cy106_CD45pos_S275,Mel106,T.CD4,post.treatment,New,3123,409269,2967,4766.875928836416
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_F07_S547_comb,Mel79,T.CD4,treatment.naive,Tirosh,2131,16157,2015,8341.210600677421
cy110_CD45pos_S195,Mel110,T.cell,post.treatment,New,4742,842977,4604,8296.993885980832
MGH00478_CD45pos_1_S257,Mel478,T.CD4,treatment.naive,New,4971,988572,4800,10186.308244315336
Merck_CD45pos_pl4_S42,Mel194,T.CD4,post.treatment,New,4926,893005,4753,10818.699590869439
cy79_p3_CD45_pos_PD1_neg_F05_S161_comb,Mel79,B.cell,treatment.naive,Tirosh,3330,122276,3122,7888.6171411194855
cy60_1_cd_45_pos_3_G12_S372_comb,Mel60,Macrophage,post.treatment,Tirosh,4031,186073,3819,10703.89373278399
cy84_Primary_CD45_pos_G02_S458_comb,Mel84,B.cell,treatment.naive,Tirosh,3884,159894,3659,9412.136120628824
cy94_cd45pos_4_E05_S53_comb,Mel94,T.cell,post.treatment,Tirosh,6869,326420,6692,14788.914169856194
cy79_p4_CD45_pos_PD1_pos_A03_S291_comb,Mel79,T.CD8,treatment.naive,Tirosh,2954,127137,2735,7792.720369842469
cy80_Cd45_pos_PD1_pos_C02_S62_comb,Mel80,T.CD4,treatment.naive,Tirosh,5060,188692,4816,12492.317102424
cy105_CD45pos_S287,Mel105,T.cell,treatment.naive,New,4057,226511,3864,9907.21973714402
MGH00478_CD45pos_2_S363,Mel478,T.CD4,treatment.naive,New,3844,355975,3649,7970.54607310108
CY75_1_CD45_CD8_8__S333_comb_BCD8,Mel75,?,post.treatment,Tirosh,5071,105072,4907,13730.596248112171
CY75_1_CD45_CD8_3__S159_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5331,507428,5149,11965.8988105309
cy129PB_CD45pos_S247,Mel129pb,T.cell,treatment.naive,New,3670,179710,3488,8715.818630562362
cy79_p4_CD45_pos_PD1_pos_H08_S380_comb,Mel79,T.CD8,treatment.naive,Tirosh,3762,186303,3533,9573.544348149224
cy88_cd_45_pos_E06_S438_comb,Mel88,Macrophage,post.treatment,Tirosh,4382,160910,4189,11540.382909851407
CY88CD45POS_2_E09_S441_comb,Mel88,NK,post.treatment,Tirosh,2111,36333,1982,8332.859849328823
CY75_1_CD45_CD8_3__S187_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4446,366677,4264,10039.521375938362
cy105_CD45pos_S268,Mel105,?,treatment.naive,New,3069,523828,2884,4525.157948520422
cy106_CD45neg_CD90neg_S348,Mel106,?,post.treatment,New,2271,898642,2100,4255.084858361652
cy79_p3_CD45_pos_PD1_neg_B11_S119_comb,Mel79,B.cell,treatment.naive,Tirosh,2219,36431,2031,7250.6772907738905
Cy81_FNA_CD45_C03_S219_comb,Mel81,T.CD8,treatment.naive,Tirosh,3492,335505,3282,7819.519973364141
cy126_CD45pos_2_S180,Mel126,T.CD8,post.treatment,New,4198,613787,4037,8254.005633781146
cy110_CD45pos_S294,Mel110,T.cell,post.treatment,New,4393,188024,4197,10344.868166981683
cy79_p4_CD45_pos_PD1_pos_B07_S307_comb,Mel79,T.cell,treatment.naive,Tirosh,3211,127185,2981,9060.006050110685
CY84_PRIM_POS_ALL_6_B03_S399_comb,Mel84,?,treatment.naive,Tirosh,4042,412880,3816,8527.947598207471
cy72_CD45_pos_G12_S948_comb,Mel72,T.cell,post.treatment,Tirosh,3012,72436,2789,8497.102107113962
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_C12_S516_comb,Mel79,B.cell,treatment.naive,Tirosh,2257,32506,2088,7546.680313926015
MGH00478_CD45pos_1_S193,Mel478,T.cell,treatment.naive,New,6812,169947,6621,15502.162350569582
cy75_1CORE_CD45pos_S88,Mel75,T.CD8,post.treatment,New,3941,241772,3765,7903.064890274196
cy72_CD45_pos_D11_S911_comb,Mel72,T.cell,post.treatment,Tirosh,3794,78083,3588,10650.226517474548
cy04.3_CD45pos_S9,Mel04.3,T.CD8,post.treatment,New,4251,400270,4067,7724.475795947328
cy126_CD45pos_1_S78,Mel126,T.CD4,post.treatment,New,4131,470132,3948,7670.0480197731495
cy103_CD45pos_S205,Mel103,B.cell,treatment.naive,New,3883,272140,3681,7790.472404128312
CY89COREQ1_H10_S382_comb,Mel89,B.cell,treatment.naive,Tirosh,2066,24649,1919,7234.704795350091
CY75_1_CD45_CD8_3__S110_comb_BCD8,Mel75,?,post.treatment,Tirosh,2724,82285,2521,7026.210113785766
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_F04_S448_comb,Mel79,T.CD8,treatment.naive,Tirosh,2560,33176,2377,9066.924003365439
cy72_CD45_pos_G03_S939_comb,Mel72,NK,post.treatment,Tirosh,4313,154884,4080,10511.306084889899
cy112_CD45pos_S79,Mel112,NK,treatment.naive,New,3645,795106,3465,6608.369223518173
CY89COREQ1_G10_S370_comb,Mel89,B.cell,treatment.naive,Tirosh,3444,78560,3216,9134.722027431373
cy98_CD45pos_1_S201,Mel98,T.cell,post.treatment,New,4225,542769,4025,8740.702394639691
MGH00478_CD45pos_2_S370,Mel478,T.CD8,treatment.naive,New,3522,386466,3328,7292.901519713983
cy103_CD45neg_CD90neg_S112,Mel103,?,treatment.naive,New,6202,521660,6052,13830.129792912809
cy103_CD45pos_S283,Mel103,T.CD8,treatment.naive,New,7689,235434,7520,15371.43741714116
cy126_CD45pos_2_S164,Mel126,T.CD8,post.treatment,New,4229,626899,4045,9147.735723159607
cy88_cd_45_pos_3_D03_S615_comb,Mel88,T.CD8,post.treatment,Tirosh,2330,40700,2164,8287.37489255275
cy110_CD45pos_S299,Mel110,T.cell,post.treatment,New,6545,920282,6373,11977.433878477288
CY89A_Core_15_H02_S86_comb,Mel89,B.cell,treatment.naive,Tirosh,3405,142997,3196,7757.970188109348
cy84_Primary_CD45_pos_G10_S466_comb,Mel84,T.CD8,treatment.naive,Tirosh,4696,316410,4500,12389.469762715822
cy94_cd45neg_cd90pos_B04_S304_comb,Mel94,Endo.,post.treatment,Tirosh,6052,239100,5832,13865.635097098882
MGH00478_CD45pos_1_S218,Mel478,T.CD4,treatment.naive,New,4611,558201,4444,9593.0848640699
cy98_CD45pos_1_S211,Mel98,T.CD8,post.treatment,New,7503,1909096,7318,14284.385040398492
cy79_p3_CD45_pos_PD1_neg_C09_S129_comb,Mel79,T.CD4,treatment.naive,Tirosh,3250,134323,3018,7938.000695414434
cy58_1_CD45_pos_B12_S600_comb,Mel58,T.CD8,post.treatment,Tirosh,3396,38368,3159,9917.353193345649
cy103_CD45pos_S197,Mel103,B.cell,treatment.naive,New,4015,161625,3801,9907.986133963634
cy82_CD45_pos_1_G08_S560_comb,Mel82,?,treatment.naive,Tirosh,3514,377544,3292,8072.574819715057
cy105_CD45pos_S241,Mel105,T.CD4,treatment.naive,New,4586,349289,4433,10381.608010834094
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G09_S561_comb,Mel79,T.cell,treatment.naive,Tirosh,2638,27250,2451,8434.537113745871
cy84_Met_CD45_pos_H09_S957_comb,Mel84,Macrophage,treatment.naive,Tirosh,2627,65188,2467,9133.901113280283
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D09_S237_comb,Mel79,T.CD4,treatment.naive,Tirosh,4977,94301,4748,13023.560266856728
cy102_CD45pos_S193,Mel102,Macrophage,post.treatment,New,9753,363157,9609,16607.734425492577
cy94_cd45pos_G07_S175_comb,Mel94,Macrophage,post.treatment,Tirosh,6304,335160,6078,13544.65923286225
cy80_Cd45_pos_PD1_pos_A11_S23_comb,Mel80,T.CD4,treatment.naive,Tirosh,5375,249017,5156,12310.717410750354
cy105_Zombineg_CD45neg_CD90neg_S124,Mel105,?,treatment.naive,New,1887,251132,1756,4737.280025914923
cy94_cd45neg_cd90pos_A09_S297_comb,Mel94,Endo.,post.treatment,Tirosh,4139,203837,3927,10254.180127826403
CY88CD45POS_2_D01_S421_comb,Mel88,Macrophage,post.treatment,Tirosh,6925,1401559,6754,13434.491449084682
Cy74_CD45_E06_S438_comb,Mel74,?,post.treatment,Tirosh,2628,113695,2446,7308.63492996733
cy84_Primary_CD45_pos_D01_S421_comb,Mel84,B.cell,treatment.naive,Tirosh,4239,197603,4011,10567.810737965185
cy84_Primary_CD45_pos_C10_S418_comb,Mel84,T.CD4,treatment.naive,Tirosh,3464,106109,3220,9434.581675111593
cy80_Cd45_pos_PD1_pos_S141_F09_S141_comb,Mel80,T.CD8,treatment.naive,Tirosh,4652,152068,4416,12128.79025990376
cy102_CD45pos_S261,Mel102,T.cell,post.treatment,New,3308,212276,3094,7658.09199192352
cy121.1_CD45pos_S294,Mel121.1,T.cell,post.treatment,New,3603,432338,3386,6810.573630234196
monika_D3_S128_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,6072,1265225,5966,10237.404885083699
cy80_CD45_neg_E01_S433_comb,Mel80,?,treatment.naive,Tirosh,4744,267220,4511,10353.858314503646
CY94CD45POS_1_E06_S150_comb,Mel94,B.cell,post.treatment,Tirosh,5948,376004,5790,12454.778719196896
cy82_CD45_pos_2_D03_S519_comb,Mel82,?,treatment.naive,Tirosh,8873,365559,8663,16133.473182949901
cy103_CD45pos_S170,Mel103,B.cell,treatment.naive,New,5405,356611,5224,10628.923771117097
cy112_CD45pos_S48,Mel112,T.CD8,treatment.naive,New,4959,1567363,4812,8123.833118300192
cy75_1CORE_CD45pos_S40,Mel75,T.CD4,post.treatment,New,5072,637999,4911,8833.00622517383
CY89FNA_E03_S243_comb,Mel89,Macrophage,treatment.naive,Tirosh,4816,239541,4605,11982.62579562846
cy94_cd45pos_G09_S177_comb,Mel94,B.cell,post.treatment,Tirosh,2666,67139,2496,7906.325260679538
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_C01_S409_comb,Mel79,T.CD8,treatment.naive,Tirosh,3023,62100,2813,9684.720429288493
Merck_CD45pos_pl4_S50,Mel194,T.CD8,post.treatment,New,4947,1729597,4822,9026.498303728522
cy79_p4_CD45_pos_PD1_pos_D03_S327_comb,Mel79,T.CD8,treatment.naive,Tirosh,4151,118165,3933,9929.608135810322
cy126_CD45pos_2_S166,Mel126,T.CD4,post.treatment,New,4048,423356,3839,7995.251192333359
cy58_1_CD45_pos_G04_S652_comb,Mel58,T.CD4,post.treatment,Tirosh,2689,13342,2523,10324.913937815001
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B11_S311_comb,Mel79,?,treatment.naive,Tirosh,2995,58625,2825,9500.99345731472
cy88_cd45pos_5_G03_S267_comb,Mel88,Macrophage,post.treatment,Tirosh,5609,1122555,5446,9791.404369196342
cy121.1_CD45pos_S337,Mel121.1,T.cell,post.treatment,New,3918,489915,3757,7023.119519624099
CY94CD45POS_1_H08_S188_comb,Mel94,T.CD4,post.treatment,Tirosh,2937,84741,2692,7768.021111470854
cy102_CD45pos_S168,Mel102,Macrophage,post.treatment,New,6985,1035890,6805,13386.000991385597
cy105_CD45neg_S200,Mel105,?,treatment.naive,New,1995,270570,1811,4399.138702747357
CY75_1_CD45_CD8_3__S112_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3761,242346,3557,9470.50072034154
cy58_1_CD45_pos_G08_S656_comb,Mel58,T.cell,post.treatment,Tirosh,6119,184208,5941,12169.906098295854
CY75_1_CD45_CD8_1__S92_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,1966,88230,1803,5720.545581298183
Merck_CD45pos_pl4_S64,Mel194,T.CD8,post.treatment,New,4136,498355,3987,8952.444933074195
cy121.1_CD45pos_S378,Mel121.1,T.CD8,post.treatment,New,4004,592967,3848,7348.591633549603
CY89A_CD45_POS_6_B05_S113_comb,Mel89,B.cell,treatment.naive,Tirosh,3326,120245,3112,8174.569363978126
CY89A_CD45_POS_6_C11_S131_comb,Mel89,T.cell,treatment.naive,Tirosh,3356,162267,3127,7361.136752147179
merck_cd45pos_PL3_S305,Mel194,T.CD4,post.treatment,New,4170,306256,3993,10022.174280938121
cy116_CD45pos_S366,Mel116,T.cell,treatment.naive,New,4574,470268,4396,9338.651176792653
Cy72_CD45_A04_S676_comb,Mel72,B.cell,post.treatment,Tirosh,3303,249863,3117,6837.944215080273
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D08_S236_comb,Mel79,T.CD8,treatment.naive,Tirosh,2820,34088,2615,9676.821737940609
cy79_p5_CD45_pos_PD1_pos_H03_S663_comb,Mel79,T.CD8,treatment.naive,Tirosh,3485,141126,3257,8664.785472035517
cy80_CD_90_pos_B02_S878_comb,Mel80,CAF,treatment.naive,Tirosh,8197,146141,8112,19338.415828141744
cy94_cd45neg_cd90pos_H02_S374_comb,Mel94,B.cell,post.treatment,Tirosh,5254,1464100,5090,8774.452317115809
cy53_1_CD45_pos_2_A09_S969_comb,Mel53,T.cell,treatment.naive,Tirosh,5673,524911,5517,12136.581242445207
CY94CD45POS_1_C02_S122_comb,Mel94,B.cell,post.treatment,Tirosh,6778,528853,6622,13916.601978917388
Cy81_FNA_CD45_B05_S209_comb,Mel81,T.CD8,treatment.naive,Tirosh,2903,221058,2685,6363.242627415579
CY75_1FNA_G06_S558_comb_4,Mel75,T.CD8,post.treatment,Tirosh,4184,84914,3931,11728.125097515047
cy80_CD45_pos_PD1_pos_D10_S142_comb,Mel80,T.CD4,treatment.naive,Tirosh,4454,138570,4233,11836.637494090115
CY89A_CD45_POS_6_B03_S111_comb,Mel89,T.cell,treatment.naive,Tirosh,2631,59347,2406,7029.250442401226
cy79_p3_CD45_pos_PD1_neg_A10_S106_comb,Mel79,T.cell,treatment.naive,Tirosh,2416,39845,2246,7652.431452129371
cy116_CD45pos_S332,Mel116,B.cell,treatment.naive,New,5753,540057,5572,11952.461594957389
cy80_Cd45_pos_PD1_pos_S135_F03_S135_comb,Mel80,T.CD8,treatment.naive,Tirosh,5400,195847,5179,13198.076063985816
cy98_CD45pos_2_S296,Mel98,T.CD8,post.treatment,New,5955,973956,5775,12873.850446047692
cy116_CD45pos_S326,Mel116,T.CD8,treatment.naive,New,3926,309232,3719,8050.664609788122
CY89A_Core_15_B11_S23_comb,Mel89,T.cell,treatment.naive,Tirosh,2781,66172,2585,7948.933191588382
cy80_CD45_pos_PD1_pos_D07_S139_comb,Mel80,T.CD8,treatment.naive,Tirosh,3605,100096,3402,9841.264817303745
cy58_1_CD45_pos_C11_S611_comb,Mel58,T.CD4,post.treatment,Tirosh,3061,30909,2827,9467.2982842104
CY89A_CD45_POS_6_B09_S117_comb,Mel89,B.cell,treatment.naive,Tirosh,3037,104569,2794,7395.150919881275
cy53_1_CD45_pos_1_F06_S66_comb,Mel53,T.CD8,treatment.naive,Tirosh,4106,91610,3896,11722.539144243925
CY75_1_CD45_CD8_7__S211_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5303,369502,5124,12107.918368726849
Cy72_CD45_C11_S707_comb,Mel72,T.cell,post.treatment,Tirosh,3228,204604,3027,6952.108694407932
cy60_1_cd_45_pos_3_H01_S373_comb,Mel60,T.CD4,post.treatment,Tirosh,3654,158871,3431,9988.237487714588
cy129PB_CD45pos_S277,Mel129pb,T.CD8,treatment.naive,New,5751,718498,5581,9779.959977544793
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_D02_S518_comb,Mel79,T.CD4,treatment.naive,Tirosh,2525,19040,2375,9270.204504006962
CY84_PRIM_POS_ALL_7_D01_S229_comb,Mel84,Macrophage,treatment.naive,Tirosh,4846,520029,4634,10666.413362208703
CY88CD45POS_7_F05_S257_comb,Mel88,B.cell,post.treatment,Tirosh,5120,300874,4882,11035.606129144222
cy82_CD45_pos_2_A05_S485_comb,Mel82,T.CD4,treatment.naive,Tirosh,4299,188177,4069,11466.506521350355
Merck_CD45pos_pl4_S46,Mel194,T.CD8,post.treatment,New,4502,863073,4342,8802.859783506497
CY75_1_CD45_CD8_8__S316_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4711,193049,4498,11814.2234322601
cy94_cd45pos_4_B03_S15_comb,Mel94,T.CD4,post.treatment,Tirosh,2511,43622,2292,8197.514292082007
CY94CD45POS_1_G07_S175_comb,Mel94,B.cell,post.treatment,Tirosh,7105,814871,6957,12907.828083902066
cy116_CD45pos_S334,Mel116,T.CD4,treatment.naive,New,3850,288805,3659,7411.989893007019
cy121.1_CD45pos_S362,Mel121.1,T.cell,post.treatment,New,4565,740000,4390,8420.030759597972
cy84_Met_CD45_pos_A02_S866_comb,Mel84,B.cell,treatment.naive,Tirosh,2538,114947,2336,6783.401567599985
cy121.1_CD45pos_S368,Mel121.1,T.CD4,post.treatment,New,4078,504547,3928,7955.201999503785
cy75_1B_CORE_CD45neg_S109,Mel75,CAF,post.treatment,New,7308,1445734,7131,12687.007383030574
CY89A_CD45_POS_6_G08_S176_comb,Mel89,B.cell,treatment.naive,Tirosh,2783,72434,2584,7391.858971427885
cy129PA_CD45pos_S140,Mel129pa,?,treatment.naive,New,4581,1541326,4421,7902.389777320777
cy94_cd45pos_4_A10_S10_comb,Mel94,T.cell,post.treatment,Tirosh,3359,255822,3136,6940.641478490633
cy75_1CORE_CD45pos_S16,Mel75,T.cell,post.treatment,New,4650,477873,4491,9183.915730225954
cy82_CD45_pos_2_E03_S531_comb,Mel82,?,treatment.naive,Tirosh,3705,53615,3674,11214.323341203768
CY88CD45_150813_B11_S311_comb,Mel88,B.cell,post.treatment,Tirosh,4158,237016,3918,9682.925402619254
Cy81_Bulk_CD45_D01_S133_comb,Mel81,?,treatment.naive,Tirosh,6992,750577,6794,14428.903856030174
CY75_1_CD45_CD8_3__S184_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4035,253418,3831,9481.70841263232
monika_B7_S115_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5477,994744,5345,9920.604386516548
monika_D11_S127_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4872,999725,4717,8288.297592555307
MGH00478_CD45pos_2_S308,Mel478,B.cell,treatment.naive,New,4241,574027,4063,8201.952979242265
cy105_CD45pos_S224,Mel105,T.CD8,treatment.naive,New,4553,685503,4404,9183.572911188294
CY89A_Core_15_A03_S3_comb,Mel89,B.cell,treatment.naive,Tirosh,3700,86103,3505,11071.618554671324
CY84_PRIM_POS_ALL_7_F10_S262_comb,Mel84,?,treatment.naive,Tirosh,2778,99062,2556,7413.192244285189
cy121.1_CD45pos_S354,Mel121.1,T.cell,post.treatment,New,3336,300272,3104,6685.450653608984
cy84_Primary_CD45_pos_D12_S432_comb,Mel84,B.cell,treatment.naive,Tirosh,3194,74461,2933,8912.111229261496
MGH00478_CD45pos_2_S334,Mel478,B.cell,treatment.naive,New,3843,500834,3651,7294.551203805371
cy128_CD45pos_S158,Mel128,B.cell,treatment.naive,New,4608,1015913,4431,8500.729531247734
cy129PA_CD45pos_S47,Mel129pa,T.CD8,treatment.naive,New,4213,645652,4004,8547.557127636974
MGH00478_CD45pos_2_S376,Mel478,T.CD4,treatment.naive,New,3424,511929,3250,6041.665869386537
cy79_p5_CD45_pos_PD1_pos_G12_S660_comb,Mel79,T.CD8,treatment.naive,Tirosh,2253,26170,2123,8308.748425785017
cy74_CD45_pos_B07_S691_comb,Mel74,T.CD8,post.treatment,Tirosh,2743,40151,2593,9506.035534722212
cy80_Cd45_pos_PD1_pos_S168_G12_S168_comb,Mel80,T.CD4,treatment.naive,Tirosh,4317,79614,4094,12481.48359373985
CY88CD45_150813_C01_S313_comb,Mel88,?,post.treatment,Tirosh,4244,816100,4081,6403.75925745338
cy80_Cd45_pos_PD1_pos_S182_H02_S182_comb,Mel80,T.cell,treatment.naive,Tirosh,3666,49035,3455,11618.468165827344
cy126_CD45pos_2_S173,Mel126,T.cell,post.treatment,New,4116,617930,3947,7368.686819706183
CY75_1_CD45_CD8_7__S245_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4859,379112,4669,11384.060501000638
cy129PB_CD45pos_S284,Mel129pb,Macrophage,treatment.naive,New,2412,20909,2322,9045.970816974099
cy53_1_CD45_pos_2_A12_S972_comb,Mel53,T.CD4,treatment.naive,Tirosh,6436,445048,6264,14333.244501669677
cy94_cd45neg_cd90pos_D07_S331_comb,Mel94,?,post.treatment,Tirosh,5078,150762,4878,13433.955980913894
cy94_cd45pos_F11_S167_comb,Mel94,B.cell,post.treatment,Tirosh,5308,481512,5130,10259.845292162423
cy116_CD45pos_S294,Mel116,T.cell,treatment.naive,New,3771,358406,3578,7011.589881272904
cy103_CD45pos_S218,Mel103,B.cell,treatment.naive,New,4974,457595,4787,9777.068316594068
CY58_1_CD45_A05_S965_comb,Mel58,T.cell,post.treatment,Tirosh,3539,131594,3335,10380.05448009948
cy121.1_CD45pos_S250,Mel121.1,T.cell,post.treatment,New,3707,1970261,3560,4926.207997961645
cy80_CD45_neg_E12_S924_comb,Mel80,Endo.,treatment.naive,Tirosh,5743,83566,5585,16230.565668008801
cy106_CD45pos_S208,Mel106,B.cell,post.treatment,New,3897,1410941,3735,4852.179210628699
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_G03_S555_comb,Mel79,B.cell,treatment.naive,Tirosh,3098,46642,2884,9610.100729541715
cy110_CD45pos_S240,Mel110,Macrophage,post.treatment,New,7242,1634958,7089,11942.628977208846
cy105_CD45neg_S233,Mel105,?,treatment.naive,New,2197,124643,1979,4533.817446643739
Cy72_CD45_A05_S677_comb,Mel72,B.cell,post.treatment,Tirosh,3181,176877,2966,7257.941042121352
cy80_CD45_neg_D01_S421_comb,Mel80,?,treatment.naive,Tirosh,4500,196771,4299,10621.64675020026
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H11_S287_comb,Mel79,T.CD4,treatment.naive,Tirosh,5676,126477,5466,13871.957515145263
merck_cd45pos_PL3_S352,Mel194,T.CD4,post.treatment,New,5804,1222148,5657,12044.982067906416
MGH00478_CD45pos_1_S233,Mel478,T.CD8,treatment.naive,New,4427,703085,4256,8548.47321566604
CY75_1_CD45_CD8_3__S141_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3839,110202,3631,11117.071224641937
cy102_CD45pos_S256,Mel102,T.cell,post.treatment,New,4365,182888,4199,11228.442431369727
CY88CD45POS_2_C07_S415_comb,Mel88,T.cell,post.treatment,Tirosh,4663,515799,4462,9619.873379666991
CY75_1_CD45_CD8_1__S95_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4701,259382,4483,11445.718783018689
MGH00478_CD45pos_2_S310,Mel478,T.CD8,treatment.naive,New,3978,435346,3783,7984.868877172433
CY89A_CD45_POS_6_H05_S185_comb,Mel89,B.cell,treatment.naive,Tirosh,3140,82518,2905,8141.9985812941495
cy88_cd_45_pos_G03_S459_comb,Mel88,T.CD4,post.treatment,Tirosh,2241,26280,2125,8807.204634445028
cy82_CD45_pos_3_B12_S24_comb,Mel82,Macrophage,treatment.naive,Tirosh,5659,98615,5502,14242.426358074945
cy58_1_CD45_pos_G12_S660_comb,Mel58,T.CD8,post.treatment,Tirosh,3981,76633,3763,11041.386908972025
cy110_CD45neg_CD90neg_S162,Mel110,?,post.treatment,New,2853,856145,2677,5102.537363094229
cy80_CD45_neg_H12_S480_comb,Mel80,Macrophage,treatment.naive,Tirosh,8328,51091,8185,19441.36509804448
cy103_CD45pos_S98,Mel103,T.CD8,treatment.naive,New,6394,412691,6234,13571.884729612982
cy103_CD45pos_S224,Mel103,B.cell,treatment.naive,New,4254,425073,4072,7899.95972274376
CY89A_CD45_POS_6_F02_S158_comb,Mel89,T.CD8,treatment.naive,Tirosh,3430,101711,3211,9194.421970897398
cy79_p4_CD45_pos_PD1_pos_H03_S375_comb,Mel79,T.CD8,treatment.naive,Tirosh,3315,146281,3104,8750.82677820845
